Cer,[M+Cl]-,[M-H]-,[M-H-H2CO]-,[M-H2O-R1]-,[M-H2O-R2+amide]-,[R2+amide]-
Cer(d15:0/18:1),558.465788,522.48911,492.4786,306.2803,223.2065,280.2646
Cer(d15:0/18:2),556.450088,520.47341,490.4629,304.2646,223.2065,278.2489
Cer(d15:0/18:3),554.434488,518.45781,488.4473,302.249,223.2065,276.2333
Cer(d15:0/18:4),552.418788,516.44211,486.4316,300.2333,223.2065,274.2176
Cer(d15:0/19:0),574.497088,538.52041,508.5099,322.3116,223.2065,296.2959
Cer(d15:0/20:0),588.512688,552.53601,522.5255,336.3272,223.2065,310.3115
Cer(d15:0/20:1),586.497088,550.52041,520.5099,334.3116,223.2065,308.2959
Cer(d15:0/20:2),584.481388,548.50471,518.4942,332.2959,223.2065,306.2802
Cer(d15:0/20:3),582.465788,546.48911,516.4786,330.2803,223.2065,304.2646
Cer(d15:0/20:4),580.450088,544.47341,514.4629,328.2646,223.2065,302.2489
Cer(d15:0/20:5),578.434488,542.45781,512.4473,326.249,223.2065,300.2333
Cer(d15:0/21:0),602.528388,566.55171,536.5412,350.3429,223.2065,324.3272
Cer(d15:0/22:0),616.543988,580.56731,550.5568,364.3585,223.2065,338.3428
Cer(d15:0/22:1),614.528388,578.55171,548.5412,362.3429,223.2065,336.3272
Cer(d15:0/22:2),612.512688,576.53601,546.5255,360.3272,223.2065,334.3115
Cer(d15:0/22:3),610.497088,574.52041,544.5099,358.3116,223.2065,332.2959
Cer(d15:0/22:4),608.481388,572.50471,542.4942,356.2959,223.2065,330.2802
Cer(d15:0/22:5),606.465788,570.48911,540.4786,354.2803,223.2065,328.2646
Cer(d15:0/22:6),604.450088,568.47341,538.4629,352.2646,223.2065,326.2489
Cer(d15:0/23:0),630.559688,594.58301,564.5725,378.3742,223.2065,352.3585
Cer(d15:0/24:0),644.575288,608.59861,578.5881,392.3898,223.2065,366.3741
Cer(d15:0/24:1),642.559688,606.58301,576.5725,390.3742,223.2065,364.3585
Cer(d15:0/25:0),658.590988,622.61431,592.6038,406.4055,223.2065,380.3898
Cer(d15:0/26:0),672.606588,636.62991,606.6194,420.4211,223.2065,394.4054
Cer(d15:0/8:0),420.324888,384.34821,354.3377,168.1394,223.2065,142.1237
Cer(d15:1/10:0),446.340488,410.36381,380.3533,196.1707,221.1908,170.155
Cer(d15:1/12:0),474.371788,438.39511,408.3846,224.202,221.1908,198.1863
Cer(d15:1/13:0),488.387488,452.41081,422.4003,238.2177,221.1908,212.202
Cer(d15:1/14:0),502.403088,466.42641,436.4159,252.2333,221.1908,226.2176
Cer(d15:1/14:1),500.387488,464.41081,434.4003,250.2177,221.1908,224.202
Cer(d15:1/15:0),516.418788,480.44211,450.4316,266.249,221.1908,240.2333
Cer(d15:1/15:1),514.403088,478.42641,448.4159,264.2333,221.1908,238.2176
Cer(d15:1/16:0),530.434388,494.45771,464.4472,280.2646,221.1908,254.2489
Cer(d15:1/16:1),528.418788,492.44211,462.4316,278.249,221.1908,252.2333
Cer(d15:1/17:0),544.450088,508.47341,478.4629,294.2803,221.1908,268.2646
Cer(d15:1/17:1),542.434388,506.45771,476.4472,292.2646,221.1908,266.2489
Cer(d15:1/17:2),540.418788,504.44211,474.4316,290.249,221.1908,264.2333
Cer(d15:1/18:0),558.465688,522.48901,492.4785,308.2959,221.1908,282.2802
Cer(d15:1/18:1),556.450088,520.47341,490.4629,306.2803,221.1908,280.2646
Cer(d15:1/18:2),554.434388,518.45771,488.4472,304.2646,221.1908,278.2489
Cer(d15:1/18:3),552.418788,516.44211,486.4316,302.249,221.1908,276.2333
Cer(d15:1/18:4),550.403088,514.42641,484.4159,300.2333,221.1908,274.2176
Cer(d15:1/19:0),572.481388,536.50471,506.4942,322.3116,221.1908,296.2959
Cer(d15:1/20:0),586.496988,550.52031,520.5098,336.3272,221.1908,310.3115
Cer(d15:1/20:1),584.481388,548.50471,518.4942,334.3116,221.1908,308.2959
Cer(d15:1/20:2),582.465688,546.48901,516.4785,332.2959,221.1908,306.2802
Cer(d15:1/20:3),580.450088,544.47341,514.4629,330.2803,221.1908,304.2646
Cer(d15:1/20:4),578.434388,542.45771,512.4472,328.2646,221.1908,302.2489
Cer(d15:1/20:5),576.418788,540.44211,510.4316,326.249,221.1908,300.2333
Cer(d15:1/21:0),600.512688,564.53601,534.5255,350.3429,221.1908,324.3272
Cer(d15:1/22:0),614.528288,578.55161,548.5411,364.3585,221.1908,338.3428
Cer(d15:1/22:1),612.512688,576.53601,546.5255,362.3429,221.1908,336.3272
Cer(d15:1/22:2),610.496988,574.52031,544.5098,360.3272,221.1908,334.3115
Cer(d15:1/22:3),608.481388,572.50471,542.4942,358.3116,221.1908,332.2959
Cer(d15:1/22:4),606.465688,570.48901,540.4785,356.2959,221.1908,330.2802
Cer(d15:1/22:5),604.450088,568.47341,538.4629,354.2803,221.1908,328.2646
Cer(d15:1/22:6),602.434388,566.45771,536.4472,352.2646,221.1908,326.2489
Cer(d15:1/23:0),628.543988,592.56731,562.5568,378.3742,221.1908,352.3585
Cer(d15:1/24:0),642.559588,606.58291,576.5724,392.3898,221.1908,366.3741
Cer(d15:1/24:1),640.543988,604.56731,574.5568,390.3742,221.1908,364.3585
Cer(d15:1/25:0),656.575288,620.59861,590.5881,406.4055,221.1908,380.3898
Cer(d15:1/26:0),670.590888,634.61421,604.6037,420.4211,221.1908,394.4054
Cer(d15:1/8:0),418.309188,382.33251,352.322,168.1394,221.1908,142.1237
Cer(d16:0/10:0),462.371788,426.39511,396.3846,196.1707,237.2221,170.155
Cer(d16:0/12:0),490.403088,454.42641,424.4159,224.202,237.2221,198.1863
Cer(d16:0/13:0),504.418788,468.44211,438.4316,238.2177,237.2221,212.202
Cer(d16:0/14:0),518.434388,482.45771,452.4472,252.2333,237.2221,226.2176
Cer(d16:0/14:1),516.418788,480.44211,450.4316,250.2177,237.2221,224.202
Cer(d16:0/15:0),532.450088,496.47341,466.4629,266.249,237.2221,240.2333
Cer(d16:0/15:1),530.434388,494.45771,464.4472,264.2333,237.2221,238.2176
Cer(d16:0/16:0),546.465688,510.48901,480.4785,280.2646,237.2221,254.2489
Cer(d16:0/16:1),544.450088,508.47341,478.4629,278.249,237.2221,252.2333
Cer(d16:0/17:0),560.481388,524.50471,494.4942,294.2803,237.2221,268.2646
Cer(d16:0/17:1),558.465688,522.48901,492.4785,292.2646,237.2221,266.2489
Cer(d16:0/17:2),556.450088,520.47341,490.4629,290.249,237.2221,264.2333
Cer(d16:0/18:0),574.496988,538.52031,508.5098,308.2959,237.2221,282.2802
Cer(d16:0/18:1),572.481388,536.50471,506.4942,306.2803,237.2221,280.2646
Cer(d16:0/18:2),570.465688,534.48901,504.4785,304.2646,237.2221,278.2489
Cer(d16:0/18:3),568.450088,532.47341,502.4629,302.249,237.2221,276.2333
Cer(d16:0/18:4),566.434388,530.45771,500.4472,300.2333,237.2221,274.2176
Cer(d16:0/19:0),588.512688,552.53601,522.5255,322.3116,237.2221,296.2959
Cer(d16:0/20:0),602.528288,566.55161,536.5411,336.3272,237.2221,310.3115
Cer(d16:0/20:1),600.512688,564.53601,534.5255,334.3116,237.2221,308.2959
Cer(d16:0/20:2),598.496988,562.52031,532.5098,332.2959,237.2221,306.2802
Cer(d16:0/20:3),596.481388,560.50471,530.4942,330.2803,237.2221,304.2646
Cer(d16:0/20:4),594.465688,558.48901,528.4785,328.2646,237.2221,302.2489
Cer(d16:0/20:5),592.450088,556.47341,526.4629,326.249,237.2221,300.2333
Cer(d16:0/21:0),616.543988,580.56731,550.5568,350.3429,237.2221,324.3272
Cer(d16:0/22:0),630.559588,594.58291,564.5724,364.3585,237.2221,338.3428
Cer(d16:0/22:1),628.543988,592.56731,562.5568,362.3429,237.2221,336.3272
Cer(d16:0/22:2),626.528288,590.55161,560.5411,360.3272,237.2221,334.3115
Cer(d16:0/22:3),624.512688,588.53601,558.5255,358.3116,237.2221,332.2959
Cer(d16:0/22:4),622.496988,586.52031,556.5098,356.2959,237.2221,330.2802
Cer(d16:0/22:5),620.481388,584.50471,554.4942,354.2803,237.2221,328.2646
Cer(d16:0/22:6),618.465688,582.48901,552.4785,352.2646,237.2221,326.2489
Cer(d16:0/23:0),644.575288,608.59861,578.5881,378.3742,237.2221,352.3585
Cer(d16:0/24:0),658.590888,622.61421,592.6037,392.3898,237.2221,366.3741
Cer(d16:0/24:1),656.575288,620.59861,590.5881,390.3742,237.2221,364.3585
Cer(d16:0/25:0),672.606588,636.62991,606.6194,406.4055,237.2221,380.3898
Cer(d16:0/26:0),686.622188,650.64551,620.635,420.4211,237.2221,394.4054
Cer(d16:0/8:0),434.340488,398.36381,368.3533,168.1394,237.2221,142.1237
Cer(d16:1/10:0),460.356188,424.37951,394.369,196.1707,235.2065,170.155
Cer(d16:1/12:0),488.387488,452.41081,422.4003,224.202,235.2065,198.1863
Cer(d16:1/13:0),502.403188,466.42651,436.416,238.2177,235.2065,212.202
Cer(d16:1/14:0),516.418788,480.44211,450.4316,252.2333,235.2065,226.2176
Cer(d16:1/14:1),514.403188,478.42651,448.416,250.2177,235.2065,224.202
Cer(d16:1/15:0),530.434488,494.45781,464.4473,266.249,235.2065,240.2333
Cer(d16:1/15:1),528.418788,492.44211,462.4316,264.2333,235.2065,238.2176
Cer(d16:1/16:0),544.450088,508.47341,478.4629,280.2646,235.2065,254.2489
Cer(d16:1/16:1),542.434488,506.45781,476.4473,278.249,235.2065,252.2333
Cer(d16:1/17:0),558.465788,522.48911,492.4786,294.2803,235.2065,268.2646
Cer(d16:1/17:1),556.450088,520.47341,490.4629,292.2646,235.2065,266.2489
