Cer,[M+H2PO4]-,[M-H]-,[M-H-H2CO]-,[M-H2O-R1]-,[M-H2O-R2+amide]-,[R2+amide]-
Cer(d15:1/15:1),576.403306,478.42641,448.4159,264.2333,221.1908,238.2176
Cer(d15:1/16:0),592.434606,494.45771,464.4472,280.2646,221.1908,254.2489
Cer(d15:1/16:1),590.419006,492.44211,462.4316,278.249,221.1908,252.2333
Cer(d15:1/17:0),606.450306,508.47341,478.4629,294.2803,221.1908,268.2646
Cer(d15:1/17:1),604.434606,506.45771,476.4472,292.2646,221.1908,266.2489
Cer(d15:1/17:2),602.419006,504.44211,474.4316,290.249,221.1908,264.2333
Cer(d15:1/18:0),620.465906,522.48901,492.4785,308.2959,221.1908,282.2802
Cer(d15:1/18:1),618.450306,520.47341,490.4629,306.2803,221.1908,280.2646
Cer(d15:1/18:2),616.434606,518.45771,488.4472,304.2646,221.1908,278.2489
Cer(d15:1/18:3),614.419006,516.44211,486.4316,302.249,221.1908,276.2333
Cer(d15:1/18:4),612.403306,514.42641,484.4159,300.2333,221.1908,274.2176
Cer(d15:1/19:0),634.481606,536.50471,506.4942,322.3116,221.1908,296.2959
Cer(d15:1/20:0),648.497206,550.52031,520.5098,336.3272,221.1908,310.3115
Cer(d15:1/20:1),646.481606,548.50471,518.4942,334.3116,221.1908,308.2959
Cer(d15:1/20:2),644.465906,546.48901,516.4785,332.2959,221.1908,306.2802
Cer(d15:1/20:3),642.450306,544.47341,514.4629,330.2803,221.1908,304.2646
Cer(d15:1/20:4),640.434606,542.45771,512.4472,328.2646,221.1908,302.2489
Cer(d15:1/20:5),638.419006,540.44211,510.4316,326.249,221.1908,300.2333
Cer(d15:1/21:0),662.512906,564.53601,534.5255,350.3429,221.1908,324.3272
Cer(d15:1/22:0),676.528506,578.55161,548.5411,364.3585,221.1908,338.3428
Cer(d15:1/22:1),674.512906,576.53601,546.5255,362.3429,221.1908,336.3272
Cer(d15:1/22:2),672.497206,574.52031,544.5098,360.3272,221.1908,334.3115
Cer(d15:1/22:3),670.481606,572.50471,542.4942,358.3116,221.1908,332.2959
Cer(d15:1/22:4),668.465906,570.48901,540.4785,356.2959,221.1908,330.2802
Cer(d15:1/22:5),666.450306,568.47341,538.4629,354.2803,221.1908,328.2646
Cer(d15:1/22:6),664.434606,566.45771,536.4472,352.2646,221.1908,326.2489
Cer(d15:1/23:0),690.544206,592.56731,562.5568,378.3742,221.1908,352.3585
Cer(d15:1/24:0),704.559806,606.58291,576.5724,392.3898,221.1908,366.3741
Cer(d15:1/24:1),702.544206,604.56731,574.5568,390.3742,221.1908,364.3585
Cer(d15:1/25:0),718.575506,620.59861,590.5881,406.4055,221.1908,380.3898
Cer(d15:1/26:0),732.591106,634.61421,604.6037,420.4211,221.1908,394.4054
Cer(d15:1/8:0),480.309406,382.33251,352.322,168.1394,221.1908,142.1237
Cer(d16:0/10:0),524.372006,426.39511,396.3846,196.1707,237.2221,170.155
Cer(d16:0/12:0),552.403306,454.42641,424.4159,224.202,237.2221,198.1863
Cer(d16:0/13:0),566.419006,468.44211,438.4316,238.2177,237.2221,212.202
Cer(d16:0/14:0),580.434606,482.45771,452.4472,252.2333,237.2221,226.2176
Cer(d16:0/14:1),578.419006,480.44211,450.4316,250.2177,237.2221,224.202
Cer(d16:0/15:0),594.450306,496.47341,466.4629,266.249,237.2221,240.2333
