PG,[M-H]-,[M-Glycerol]-,[M-T1RCH=C=O]-,[M-T2RCH=C=O]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[M-T1RCH=C=O-Glycerol]-,[M-T2RCH=C=O-Glycerol]-,[M-T1RCOOH-Glycerol]-,[M-T2RCOOH-Glycerol]-,[T1_RCOO]-,[T2_RCOO]-, [Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-,[Glycerophosphoglycerol]-,[Glycerophosphoglycerol-H2O]-,[Glycerophosphoglycerol-2H2O]-
PG(10:0_20:5),683.39306,609.35628,529.25729,399.17899,511.24673,381.16843,455.22051,325.14221,437.20995,307.13165,171.13905,301.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_21:0),707.48696,633.45018,553.35119,399.17899,535.34063,381.16843,479.31441,325.14221,461.30385,307.13165,171.13905,325.31125,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_22:0),721.50256,647.46578,567.36679,399.17899,549.35623,381.16843,493.33001,325.14221,475.31945,307.13165,171.13905,339.32685,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_22:1),719.48696,645.45018,565.35119,399.17899,547.34063,381.16843,491.31441,325.14221,473.30385,307.13165,171.13905,337.31125,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_22:2),717.47126,643.43448,563.33549,399.17899,545.32493,381.16843,489.29871,325.14221,471.28815,307.13165,171.13905,335.29555,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_22:3),715.45566,641.41888,561.31989,399.17899,543.30933,381.16843,487.28311,325.14221,469.27255,307.13165,171.13905,333.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_22:4),713.43996,639.40318,559.30419,399.17899,541.29363,381.16843,485.26741,325.14221,467.25685,307.13165,171.13905,331.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_22:5),711.42436,637.38758,557.28859,399.17899,539.27803,381.16843,483.25181,325.14221,465.24125,307.13165,171.13905,329.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_22:6),709.40866,635.37188,555.27289,399.17899,537.26233,381.16843,481.23611,325.14221,463.22555,307.13165,171.13905,327.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_23:0),735.51826,661.48148,581.38249,399.17899,563.37193,381.16843,507.34571,325.14221,489.33515,307.13165,171.13905,353.34255,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_24:0),749.53386,675.49708,595.39809,399.17899,577.38753,381.16843,521.36131,325.14221,503.35075,307.13165,171.13905,367.35815,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_24:1),747.51826,673.48148,593.38249,399.17899,575.37193,381.16843,519.34571,325.14221,501.33515,307.13165,171.13905,365.34255,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_25:0),763.54956,689.51278,609.41379,399.17899,591.40323,381.16843,535.37701,325.14221,517.36645,307.13165,171.13905,381.37385,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_26:0),777.56516,703.52838,623.42939,399.17899,605.41883,381.16843,549.39261,325.14221,531.38205,307.13165,171.13905,395.38945,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_12:0),609.37736,535.34058,427.21029,427.21029,409.19973,409.19973,353.17351,353.17351,335.16295,335.16295,199.17035,199.17035,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_13:0),623.39306,549.35628,441.22599,427.21029,423.21543,409.19973,367.18921,353.17351,349.17865,335.16295,199.17035,213.18605,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_14:0),637.40866,563.37188,455.24159,427.21029,437.23103,409.19973,381.20481,353.17351,363.19425,335.16295,199.17035,227.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_14:1),635.39306,561.35628,453.22599,427.21029,435.21543,409.19973,379.18921,353.17351,361.17865,335.16295,199.17035,225.18605,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_15:0),651.42436,577.38758,469.25729,427.21029,451.24673,409.19973,395.22051,353.17351,377.20995,335.16295,199.17035,241.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_15:1),649.40866,575.37188,467.24159,427.21029,449.23103,409.19973,393.20481,353.17351,375.19425,335.16295,199.17035,239.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_16:0),665.43996,591.40318,483.27289,427.21029,465.26233,409.19973,409.23611,353.17351,391.22555,335.16295,199.17035,255.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_16:1),663.42436,589.38758,481.25729,427.21029,463.24673,409.19973,407.22051,353.17351,389.20995,335.16295,199.17035,253.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_17:0),679.45566,605.41888,497.28859,427.21029,479.27803,409.19973,423.25181,353.17351,405.24125,335.16295,199.17035,269.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_17:1),677.43996,603.40318,495.27289,427.21029,477.26233,409.19973,421.23611,353.17351,403.22555,335.16295,199.17035,267.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_17:2),675.42436,601.38758,493.25729,427.21029,475.24673,409.19973,419.22051,353.17351,401.20995,335.16295,199.17035,265.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_18:0),693.47126,619.43448,511.30419,427.21029,493.29363,409.19973,437.26741,353.17351,419.25685,335.16295,199.17035,283.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_18:1),691.45566,617.41888,509.28859,427.21029,491.27803,409.19973,435.25181,353.17351,417.24125,335.16295,199.17035,281.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_18:2),689.43996,615.40318,507.27289,427.21029,489.26233,409.19973,433.23611,353.17351,415.22555,335.16295,199.17035,279.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_18:3),687.42436,613.38758,505.25729,427.21029,487.24673,409.19973,431.22051,353.17351,413.20995,335.16295,199.17035,277.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_18:4),685.40866,611.37188,503.24159,427.21029,485.23103,409.19973,429.20481,353.17351,411.19425,335.16295,199.17035,275.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_19:0),707.48696,633.45018,525.31989,427.21029,507.30933,409.19973,451.28311,353.17351,433.27255,335.16295,199.17035,297.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_20:0),721.50256,647.46578,539.33549,427.21029,521.32493,409.19973,465.29871,353.17351,447.28815,335.16295,199.17035,311.29555,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_20:1),719.48696,645.45018,537.31989,427.21029,519.30933,409.19973,463.28311,353.17351,445.27255,335.16295,199.17035,309.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_20:2),717.47126,643.43448,535.30419,427.21029,517.29363,409.19973,461.26741,353.17351,443.25685,335.16295,199.17035,307.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
