SM,[M+H2PO4]-,[M-CH3]-,[T2-H]-,[PC-CH3-H]-
SM(d15:0/18:4)+H2PO4,779.474617,667.4774,275.2016,168.0431
SM(d15:0/19:0)+H2PO4,801.552917,689.5557,297.2799,168.0431
SM(d15:0/20:0)+H2PO4,815.568517,703.5713,311.2955,168.0431
SM(d15:0/20:1)+H2PO4,813.552917,701.5557,309.2799,168.0431
SM(d15:0/20:2)+H2PO4,811.537217,699.54,307.2642,168.0431
SM(d15:0/20:3)+H2PO4,809.521617,697.5244,305.2486,168.0431
SM(d15:0/20:4)+H2PO4,807.505917,695.5087,303.2329,168.0431
SM(d15:0/20:5)+H2PO4,805.490317,693.4931,301.2173,168.0431
SM(d15:0/21:0)+H2PO4,829.584217,717.587,325.3112,168.0431
SM(d15:0/22:0)+H2PO4,843.599817,731.6026,339.3268,168.0431
SM(d15:0/22:1)+H2PO4,841.584217,729.587,337.3112,168.0431
SM(d15:0/22:2)+H2PO4,839.568517,727.5713,335.2955,168.0431
SM(d15:0/22:3)+H2PO4,837.552917,725.5557,333.2799,168.0431
SM(d15:0/22:4)+H2PO4,835.537217,723.54,331.2642,168.0431
SM(d15:0/22:5)+H2PO4,833.521617,721.5244,329.2486,168.0431
SM(d15:0/22:6)+H2PO4,831.505917,719.5087,327.2329,168.0431
SM(d15:0/23:0)+H2PO4,857.615517,745.6183,353.3425,168.0431
SM(d15:0/24:0)+H2PO4,871.631117,759.6339,367.3581,168.0431
SM(d15:0/24:1)+H2PO4,869.615517,757.6183,365.3425,168.0431
SM(d15:0/25:0)+H2PO4,885.646817,773.6496,381.3738,168.0431
SM(d15:0/26:0)+H2PO4,899.662417,787.6652,395.3894,168.0431
SM(d15:0/8:0)+H2PO4,647.380717,535.3835,143.1077,168.0431
SM(d15:1/10:0)+H2PO4,673.396317,561.3991,171.139,168.0431
SM(d15:1/12:0)+H2PO4,701.427617,589.4304,199.1703,168.0431
SM(d15:1/13:0)+H2PO4,715.443317,603.4461,213.186,168.0431
SM(d15:1/14:0)+H2PO4,729.458917,617.4617,227.2016,168.0431
SM(d15:1/14:1)+H2PO4,727.443317,615.4461,225.186,168.0431
SM(d15:1/15:0)+H2PO4,743.474617,631.4774,241.2173,168.0431
SM(d15:1/15:1)+H2PO4,741.458917,629.4617,239.2016,168.0431
SM(d15:1/16:0)+H2PO4,757.490217,645.493,255.2329,168.0431
SM(d15:1/16:1)+H2PO4,755.474617,643.4774,253.2173,168.0431
SM(d15:1/17:0)+H2PO4,771.505917,659.5087,269.2486,168.0431
