PA,[M-H]-,[M-T1Ketene]-,[M-T2Ketene]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[GlyceroPA-CH3-H2O]-,[T1_RCOO]-,[T2_RCOO]-,[Glycerol-3-phosphate]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-
PA(13:0_20:0),661.48146,465.29869,367.18919,447.28813,349.17863,224.06881,213.18605,311.29555,171.00644,152.99586,96.96964,78.95852
PA(13:0_20:1),659.46586,463.28309,367.18919,445.27253,349.17863,224.06881,213.18605,309.27995,171.00644,152.99586,96.96964,78.95852
PA(13:0_20:2),657.45016,461.26739,367.18919,443.25683,349.17863,224.06881,213.18605,307.26425,171.00644,152.99586,96.96964,78.95852
PA(13:0_20:3),655.43456,459.25179,367.18919,441.24123,349.17863,224.06881,213.18605,305.24865,171.00644,152.99586,96.96964,78.95852
PA(13:0_20:4),653.41886,457.23609,367.18919,439.22553,349.17863,224.06881,213.18605,303.23295,171.00644,152.99586,96.96964,78.95852
PA(13:0_20:5),651.40326,455.22049,367.18919,437.20993,349.17863,224.06881,213.18605,301.21735,171.00644,152.99586,96.96964,78.95852
PA(13:0_21:0),675.49716,479.31439,367.18919,461.30383,349.17863,224.06881,213.18605,325.31125,171.00644,152.99586,96.96964,78.95852
PA(13:0_22:0),689.51276,493.32999,367.18919,475.31943,349.17863,224.06881,213.18605,339.32685,171.00644,152.99586,96.96964,78.95852
PA(13:0_22:1),687.49716,491.31439,367.18919,473.30383,349.17863,224.06881,213.18605,337.31125,171.00644,152.99586,96.96964,78.95852
PA(13:0_22:2),685.48146,489.29869,367.18919,471.28813,349.17863,224.06881,213.18605,335.29555,171.00644,152.99586,96.96964,78.95852
PA(13:0_22:3),683.46586,487.28309,367.18919,469.27253,349.17863,224.06881,213.18605,333.27995,171.00644,152.99586,96.96964,78.95852
PA(13:0_22:4),681.45016,485.26739,367.18919,467.25683,349.17863,224.06881,213.18605,331.26425,171.00644,152.99586,96.96964,78.95852
PA(13:0_22:5),679.43456,483.25179,367.18919,465.24123,349.17863,224.06881,213.18605,329.24865,171.00644,152.99586,96.96964,78.95852
PA(13:0_22:6),677.41886,481.23609,367.18919,463.22553,349.17863,224.06881,213.18605,327.23295,171.00644,152.99586,96.96964,78.95852
PA(13:0_23:0),703.52846,507.34569,367.18919,489.33513,349.17863,224.06881,213.18605,353.34255,171.00644,152.99586,96.96964,78.95852
PA(13:0_24:0),717.54406,521.36129,367.18919,503.35073,349.17863,224.06881,213.18605,367.35815,171.00644,152.99586,96.96964,78.95852
PA(13:0_24:1),715.52846,519.34569,367.18919,501.33513,349.17863,224.06881,213.18605,365.34255,171.00644,152.99586,96.96964,78.95852
PA(13:0_25:0),731.55976,535.37699,367.18919,517.36643,349.17863,224.06881,213.18605,381.37385,171.00644,152.99586,96.96964,78.95852
PA(13:0_26:0),745.57536,549.39259,367.18919,531.38203,349.17863,224.06881,213.18605,395.38945,171.00644,152.99586,96.96964,78.95852
PA(14:0_14:0),591.40316,381.20479,381.20479,363.19423,363.19423,224.06881,227.20165,227.20165,171.00644,152.99586,96.96964,78.95852
PA(14:0_14:1),589.38756,379.18919,381.20479,361.17863,363.19423,224.06881,227.20165,225.18605,171.00644,152.99586,96.96964,78.95852
PA(14:0_15:0),605.41886,395.22049,381.20479,377.20993,363.19423,224.06881,227.20165,241.21735,171.00644,152.99586,96.96964,78.95852
PA(14:0_15:1),603.40316,393.20479,381.20479,375.19423,363.19423,224.06881,227.20165,239.20165,171.00644,152.99586,96.96964,78.95852
PA(14:0_16:0),619.43446,409.23609,381.20479,391.22553,363.19423,224.06881,227.20165,255.23295,171.00644,152.99586,96.96964,78.95852
PA(14:0_16:1),617.41886,407.22049,381.20479,389.20993,363.19423,224.06881,227.20165,253.21735,171.00644,152.99586,96.96964,78.95852
PA(14:0_17:0),633.45016,423.25179,381.20479,405.24123,363.19423,224.06881,227.20165,269.24865,171.00644,152.99586,96.96964,78.95852
PA(14:0_17:1),631.43446,421.23609,381.20479,403.22553,363.19423,224.06881,227.20165,267.23295,171.00644,152.99586,96.96964,78.95852
PA(14:0_17:2),629.41886,419.22049,381.20479,401.20993,363.19423,224.06881,227.20165,265.21735,171.00644,152.99586,96.96964,78.95852
PA(14:0_18:0),647.46576,437.26739,381.20479,419.25683,363.19423,224.06881,227.20165,283.26425,171.00644,152.99586,96.96964,78.95852
PA(14:0_18:1),645.45016,435.25179,381.20479,417.24123,363.19423,224.06881,227.20165,281.24865,171.00644,152.99586,96.96964,78.95852
PA(14:0_18:2),643.43446,433.23609,381.20479,415.22553,363.19423,224.06881,227.20165,279.23295,171.00644,152.99586,96.96964,78.95852
PA(14:0_18:3),641.41886,431.22049,381.20479,413.20993,363.19423,224.06881,227.20165,277.21735,171.00644,152.99586,96.96964,78.95852
PA(14:0_18:4),639.40316,429.20479,381.20479,411.19423,363.19423,224.06881,227.20165,275.20165,171.00644,152.99586,96.96964,78.95852
PA(14:0_19:0),661.48146,451.28309,381.20479,433.27253,363.19423,224.06881,227.20165,297.27995,171.00644,152.99586,96.96964,78.95852
PA(14:0_20:0),675.49706,465.29869,381.20479,447.28813,363.19423,224.06881,227.20165,311.29555,171.00644,152.99586,96.96964,78.95852
PA(14:0_20:1),673.48146,463.28309,381.20479,445.27253,363.19423,224.06881,227.20165,309.27995,171.00644,152.99586,96.96964,78.95852
PA(14:0_20:2),671.46576,461.26739,381.20479,443.25683,363.19423,224.06881,227.20165,307.26425,171.00644,152.99586,96.96964,78.95852
PA(14:0_20:3),669.45016,459.25179,381.20479,441.24123,363.19423,224.06881,227.20165,305.24865,171.00644,152.99586,96.96964,78.95852
PA(14:0_20:4),667.43446,457.23609,381.20479,439.22553,363.19423,224.06881,227.20165,303.23295,171.00644,152.99586,96.96964,78.95852
PA(14:0_20:5),665.41886,455.22049,381.20479,437.20993,363.19423,224.06881,227.20165,301.21735,171.00644,152.99586,96.96964,78.95852
PA(14:0_21:0),689.51276,479.31439,381.20479,461.30383,363.19423,224.06881,227.20165,325.31125,171.00644,152.99586,96.96964,78.95852
PA(14:0_22:0),703.52836,493.32999,381.20479,475.31943,363.19423,224.06881,227.20165,339.32685,171.00644,152.99586,96.96964,78.95852
PA(14:0_22:1),701.51276,491.31439,381.20479,473.30383,363.19423,224.06881,227.20165,337.31125,171.00644,152.99586,96.96964,78.95852
PA(14:0_22:2),699.49706,489.29869,381.20479,471.28813,363.19423,224.06881,227.20165,335.29555,171.00644,152.99586,96.96964,78.95852
PA(14:0_22:3),697.48146,487.28309,381.20479,469.27253,363.19423,224.06881,227.20165,333.27995,171.00644,152.99586,96.96964,78.95852
PA(14:0_22:4),695.46576,485.26739,381.20479,467.25683,363.19423,224.06881,227.20165,331.26425,171.00644,152.99586,96.96964,78.95852
PA(14:0_22:5),693.45016,483.25179,381.20479,465.24123,363.19423,224.06881,227.20165,329.24865,171.00644,152.99586,96.96964,78.95852
PA(14:0_22:6),691.43446,481.23609,381.20479,463.22553,363.19423,224.06881,227.20165,327.23295,171.00644,152.99586,96.96964,78.95852
PA(14:0_23:0),717.54406,507.34569,381.20479,489.33513,363.19423,224.06881,227.20165,353.34255,171.00644,152.99586,96.96964,78.95852
PA(14:0_24:0),731.55966,521.36129,381.20479,503.35073,363.19423,224.06881,227.20165,367.35815,171.00644,152.99586,96.96964,78.95852
PA(14:0_24:1),729.54406,519.34569,381.20479,501.33513,363.19423,224.06881,227.20165,365.34255,171.00644,152.99586,96.96964,78.95852
PA(14:0_25:0),745.57536,535.37699,381.20479,517.36643,363.19423,224.06881,227.20165,381.37385,171.00644,152.99586,96.96964,78.95852
PA(14:0_26:0),759.59096,549.39259,381.20479,531.38203,363.19423,224.06881,227.20165,395.38945,171.00644,152.99586,96.96964,78.95852
PA(14:1_14:1),587.37196,379.18919,379.18919,361.17863,361.17863,224.06881,225.18605,225.18605,171.00644,152.99586,96.96964,78.95852
PA(14:1_15:0),603.40326,395.22049,379.18919,377.20993,361.17863,224.06881,225.18605,241.21735,171.00644,152.99586,96.96964,78.95852
PA(14:1_15:1),601.38756,393.20479,379.18919,375.19423,361.17863,224.06881,225.18605,239.20165,171.00644,152.99586,96.96964,78.95852
PA(14:1_16:0),617.41886,409.23609,379.18919,391.22553,361.17863,224.06881,225.18605,255.23295,171.00644,152.99586,96.96964,78.95852
PA(14:1_16:1),615.40326,407.22049,379.18919,389.20993,361.17863,224.06881,225.18605,253.21735,171.00644,152.99586,96.96964,78.95852
