PS,[M-H]-,[M-Serine]-,[M-T1Ketene]-,[M-T2Ketene]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[GlyceroPC-CH3-H2O]-,[T1_RCOO]-,[T2_RCOO]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-
PS(13:0_16:1),690.4353,603.40328,407.22051,367.18921,389.20995,349.17865,224.06881,213.18605,253.21735,152.99586,96.96964,78.95852
PS(13:0_17:0),706.4666,619.43458,423.25181,367.18921,405.24125,349.17865,224.06881,213.18605,269.24865,152.99586,96.96964,78.95852
PS(13:0_17:1),704.4509,617.41888,421.23611,367.18921,403.22555,349.17865,224.06881,213.18605,267.23295,152.99586,96.96964,78.95852
PS(13:0_17:2),702.4353,615.40328,419.22051,367.18921,401.20995,349.17865,224.06881,213.18605,265.21735,152.99586,96.96964,78.95852
PS(13:0_18:0),720.4822,633.45018,437.26741,367.18921,419.25685,349.17865,224.06881,213.18605,283.26425,152.99586,96.96964,78.95852
PS(13:0_18:1),718.4666,631.43458,435.25181,367.18921,417.24125,349.17865,224.06881,213.18605,281.24865,152.99586,96.96964,78.95852
PS(13:0_18:2),716.4509,629.41888,433.23611,367.18921,415.22555,349.17865,224.06881,213.18605,279.23295,152.99586,96.96964,78.95852
PS(13:0_18:3),714.4353,627.40328,431.22051,367.18921,413.20995,349.17865,224.06881,213.18605,277.21735,152.99586,96.96964,78.95852
PS(13:0_18:4),712.4196,625.38758,429.20481,367.18921,411.19425,349.17865,224.06881,213.18605,275.20165,152.99586,96.96964,78.95852
PS(13:0_19:0),734.4979,647.46588,451.28311,367.18921,433.27255,349.17865,224.06881,213.18605,297.27995,152.99586,96.96964,78.95852
PS(13:0_20:0),748.5135,661.48148,465.29871,367.18921,447.28815,349.17865,224.06881,213.18605,311.29555,152.99586,96.96964,78.95852
PS(13:0_20:1),746.4979,659.46588,463.28311,367.18921,445.27255,349.17865,224.06881,213.18605,309.27995,152.99586,96.96964,78.95852
PS(13:0_20:2),744.4822,657.45018,461.26741,367.18921,443.25685,349.17865,224.06881,213.18605,307.26425,152.99586,96.96964,78.95852
PS(13:0_20:3),742.4666,655.43458,459.25181,367.18921,441.24125,349.17865,224.06881,213.18605,305.24865,152.99586,96.96964,78.95852
PS(13:0_20:4),740.4509,653.41888,457.23611,367.18921,439.22555,349.17865,224.06881,213.18605,303.23295,152.99586,96.96964,78.95852
PS(13:0_20:5),738.4353,651.40328,455.22051,367.18921,437.20995,349.17865,224.06881,213.18605,301.21735,152.99586,96.96964,78.95852
PS(13:0_21:0),762.5292,675.49718,479.31441,367.18921,461.30385,349.17865,224.06881,213.18605,325.31125,152.99586,96.96964,78.95852
