Plasmenyl-PE,[M-H]-,[M-T2Ketene]-,[M-T2RCOOH]-,[T2_RCOO]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-,[PE]-,[PE-H2O]-
Plasmenyl-PE(P-18:1/20:5),746.51315,462.29908,444.28852,301.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/21:0),770.60705,462.29908,444.28852,325.31125,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/22:0),784.62265,462.29908,444.28852,339.32685,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/22:1),782.60705,462.29908,444.28852,337.31125,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/22:2),780.59135,462.29908,444.28852,335.29555,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/22:3),778.57575,462.29908,444.28852,333.27995,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/22:4),776.56005,462.29908,444.28852,331.26425,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/22:5),774.54445,462.29908,444.28852,329.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/22:6),772.52875,462.29908,444.28852,327.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/23:0),798.63835,462.29908,444.28852,353.34255,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/24:0),812.65395,462.29908,444.28852,367.35815,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/24:1),810.63835,462.29908,444.28852,365.34255,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/25:0),826.66965,462.29908,444.28852,381.37385,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/26:0),840.68525,462.29908,444.28852,395.38945,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/8:0),588.40355,462.29908,444.28852,143.10775,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/10:0),646.48175,492.34598,474.33542,171.13905,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/12:0),674.51305,492.34598,474.33542,199.17035,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/13:0),688.52875,492.34598,474.33542,213.18605,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/14:0),702.54435,492.34598,474.33542,227.20165,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/14:1),700.52875,492.34598,474.33542,225.18605,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/15:0),716.56005,492.34598,474.33542,241.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/15:1),714.54435,492.34598,474.33542,239.20165,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/16:0),730.57565,492.34598,474.33542,255.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/16:1),728.56005,492.34598,474.33542,253.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/17:0),744.59135,492.34598,474.33542,269.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/17:1),742.57565,492.34598,474.33542,267.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/17:2),740.56005,492.34598,474.33542,265.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/18:0),758.60695,492.34598,474.33542,283.26425,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/18:1),756.59135,492.34598,474.33542,281.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/18:2),754.57565,492.34598,474.33542,279.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/18:3),752.56005,492.34598,474.33542,277.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/18:4),750.54435,492.34598,474.33542,275.20165,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/19:0),772.62265,492.34598,474.33542,297.27995,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/20:0),786.63825,492.34598,474.33542,311.29555,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/20:1),784.62265,492.34598,474.33542,309.27995,152.99586,96.96964,78.95852,140.01128,122.0007
