HexCer,[M+K]+,[M+H-H2O]+,[M+H-Hex]+,[M+H-Hex-H2O]+,[M+H-R1-H2O-Hex]+,[M+H-R1-2H2O-Hex]+
HexCer(d14:3/34:2),926.68508,870.71864,708.6658,690.6553,222.1853,204.1747
HexCer(d14:3/35:0),944.73208,888.76564,726.7128,708.7022,222.1853,204.1747
HexCer(d14:3/35:1),942.71648,886.75004,724.6971,706.6866,222.1853,204.1747
HexCer(d14:3/36:0),958.74778,902.78134,740.7285,722.7179,222.1853,204.1747
HexCer(d14:3/36:1),956.73208,900.76564,738.7128,720.7022,222.1853,204.1747
HexCer(d14:3/36:2),954.71648,898.75004,736.6971,718.6866,222.1853,204.1747
HexCer(d14:3/38:0),986.77898,930.81254,768.7598,750.7491,222.1853,204.1747
HexCer(d14:3/38:1),984.76338,928.79694,766.7441,748.7335,222.1853,204.1747
HexCer(d14:3/38:2),982.74778,926.78134,764.7285,746.7179,222.1853,204.1747
HexCer(d14:3/40:0),1014.81028,958.84384,796.791,778.7805,222.1853,204.1747
HexCer(d14:3/40:1),1012.79468,956.82824,794.7754,776.7648,222.1853,204.1747
HexCer(d14:3/40:2),1010.77898,954.81254,792.7598,774.7491,222.1853,204.1747
HexCer(d14:3/42:0),1042.84188,986.87544,824.8223,806.8118,222.1853,204.1747
HexCer(d14:3/42:1),1040.82588,984.85944,822.8067,804.7961,222.1853,204.1747
HexCer(d14:3/42:2),1038.80988,982.84344,820.791,802.7805,222.1853,204.1747
HexCer(d15:1/12:0),640.41908,584.45264,422.3998,404.3892,240.2322,222.2216
HexCer(d15:1/12:1),638.40338,582.43694,420.3841,402.3736,240.2322,222.2216
HexCer(d15:1/13:0),654.43468,598.46824,436.4154,418.4049,240.2322,222.2216
HexCer(d15:1/13:1),652.41908,596.45264,434.3998,416.3892,240.2322,222.2216
HexCer(d15:1/14:0),668.45038,612.48394,450.4311,432.4205,240.2322,222.2216
HexCer(d15:1/14:1),666.43468,610.46824,448.4154,430.4049,240.2322,222.2216
HexCer(d15:1/15:0),682.46598,626.49954,464.4467,446.4362,240.2322,222.2216
