"DG","[M+NH4]+","[M+H-H2O]+","[M+H-acyl-sn1-2H2O]+","[M+H-acyl-sn2-2H2O]+","[acyl-sn1CO]+","[acyl-sn2CO]+","[acyl-sn1CO-H2O]+","[acyl-sn2CO-H2O]+","[acyl-sn1CO-H2O+74]+","[acyl-sn2CO-H2O+74]+"
"DG(35:4) DG(13:0_22:4)",620.5249,585.4878,389.305,271.2268,197.19,315.2682,179.1795,297.2577,253.2163,371.2945
"DG(35:5) DG(13:0_22:5)",618.5093,583.4722,387.2894,271.2268,197.19,313.2526,179.1795,295.2421,253.2163,369.2789
"DG(35:6) DG(13:0_22:6)",616.4936,581.4565,385.2737,271.2268,197.19,311.2369,179.1795,293.2264,253.2163,367.2632
"DG(36:0) DG(13:0_23:0)",642.6032,607.5661,411.3833,271.2268,197.19,337.3465,179.1795,319.336,253.2163,393.3728
"DG(37:0) DG(13:0_24:0)",656.6188,621.5817,425.3989,271.2268,197.19,351.3621,179.1795,333.3516,253.2163,407.3884
"DG(37:1) DG(13:0_24:1)",654.6032,619.5661,423.3833,271.2268,197.19,349.3465,179.1795,331.336,253.2163,405.3728
"DG(38:0) DG(13:0_25:0)",670.6345,635.5974,439.4146,271.2268,197.19,365.3778,179.1795,347.3673,253.2163,421.4041
"DG(39:0) DG(13:0_26:0)",684.6501,649.613,453.4302,271.2268,197.19,379.3934,179.1795,361.3829,253.2163,435.4197
"DG(28:0) DG(14:0_14:0)",530.4779,495.4408,285.2424,285.2424,211.2056,211.2056,193.1951,193.1951,267.2319,267.2319
"DG(28:1) DG(14:0_14:1)",528.4623,493.4252,283.2268,285.2424,211.2056,209.19,193.1951,191.1795,267.2319,265.2163
"DG(29:0) DG(14:0_15:0)",544.4936,509.4565,299.2581,285.2424,211.2056,225.2213,193.1951,207.2108,267.2319,281.2476
"DG(29:1) DG(14:0_15:1)",542.4779,507.4408,297.2424,285.2424,211.2056,223.2056,193.1951,205.1951,267.2319,279.2319
"DG(30:0) DG(14:0_16:0)",558.5092,523.4721,313.2737,285.2424,211.2056,239.2369,193.1951,221.2264,267.2319,295.2632
"DG(30:1) DG(14:0_16:1)",556.4936,521.4565,311.2581,285.2424,211.2056,237.2213,193.1951,219.2108,267.2319,293.2476
"DG(31:0) DG(14:0_17:0)",572.5249,537.4878,327.2894,285.2424,211.2056,253.2526,193.1951,235.2421,267.2319,309.2789
"DG(31:1) DG(14:0_17:1)",570.5092,535.4721,325.2737,285.2424,211.2056,251.2369,193.1951,233.2264,267.2319,307.2632
"DG(31:2) DG(14:0_17:2)",568.4936,533.4565,323.2581,285.2424,211.2056,249.2213,193.1951,231.2108,267.2319,305.2476
"DG(32:0) DG(14:0_18:0)",586.5405,551.5034,341.305,285.2424,211.2056,267.2682,193.1951,249.2577,267.2319,323.2945
"DG(32:1) DG(14:0_18:1)",584.5249,549.4878,339.2894,285.2424,211.2056,265.2526,193.1951,247.2421,267.2319,321.2789
"DG(32:2) DG(14:0_18:2)",582.5092,547.4721,337.2737,285.2424,211.2056,263.2369,193.1951,245.2264,267.2319,319.2632
"DG(32:3) DG(14:0_18:3)",580.4936,545.4565,335.2581,285.2424,211.2056,261.2213,193.1951,243.2108,267.2319,317.2476
"DG(32:4) DG(14:0_18:4)",578.4779,543.4408,333.2424,285.2424,211.2056,259.2056,193.1951,241.1951,267.2319,315.2319
"DG(33:0) DG(14:0_19:0)",600.5562,565.5191,355.3207,285.2424,211.2056,281.2839,193.1951,263.2734,267.2319,337.3102
"DG(34:0) DG(14:0_20:0)",614.5718,579.5347,369.3363,285.2424,211.2056,295.2995,193.1951,277.289,267.2319,351.3258
"DG(34:1) DG(14:0_20:1)",612.5562,577.5191,367.3207,285.2424,211.2056,293.2839,193.1951,275.2734,267.2319,349.3102
"DG(34:2) DG(14:0_20:2)",610.5405,575.5034,365.305,285.2424,211.2056,291.2682,193.1951,273.2577,267.2319,347.2945
"DG(34:3) DG(14:0_20:3)",608.5249,573.4878,363.2894,285.2424,211.2056,289.2526,193.1951,271.2421,267.2319,345.2789
"DG(34:4) DG(14:0_20:4)",606.5092,571.4721,361.2737,285.2424,211.2056,287.2369,193.1951,269.2264,267.2319,343.2632
"DG(34:5) DG(14:0_20:5)",604.4936,569.4565,359.2581,285.2424,211.2056,285.2213,193.1951,267.2108,267.2319,341.2476
"DG(35:0) DG(14:0_21:0)",628.5875,593.5504,383.352,285.2424,211.2056,309.3152,193.1951,291.3047,267.2319,365.3415
"DG(36:0) DG(14:0_22:0)",642.6031,607.566,397.3676,285.2424,211.2056,323.3308,193.1951,305.3203,267.2319,379.3571
"DG(36:1) DG(14:0_22:1)",640.5875,605.5504,395.352,285.2424,211.2056,321.3152,193.1951,303.3047,267.2319,377.3415
"DG(36:2) DG(14:0_22:2)",638.5718,603.5347,393.3363,285.2424,211.2056,319.2995,193.1951,301.289,267.2319,375.3258
"DG(36:3) DG(14:0_22:3)",636.5562,601.5191,391.3207,285.2424,211.2056,317.2839,193.1951,299.2734,267.2319,373.3102
"DG(36:4) DG(14:0_22:4)",634.5405,599.5034,389.305,285.2424,211.2056,315.2682,193.1951,297.2577,267.2319,371.2945
"DG(36:5) DG(14:0_22:5)",632.5249,597.4878,387.2894,285.2424,211.2056,313.2526,193.1951,295.2421,267.2319,369.2789
"DG(36:6) DG(14:0_22:6)",630.5092,595.4721,385.2737,285.2424,211.2056,311.2369,193.1951,293.2264,267.2319,367.2632
"DG(37:0) DG(14:0_23:0)",656.6188,621.5817,411.3833,285.2424,211.2056,337.3465,193.1951,319.336,267.2319,393.3728
"DG(38:0) DG(14:0_24:0)",670.6344,635.5973,425.3989,285.2424,211.2056,351.3621,193.1951,333.3516,267.2319,407.3884
"DG(38:1) DG(14:0_24:1)",668.6188,633.5817,423.3833,285.2424,211.2056,349.3465,193.1951,331.336,267.2319,405.3728
"DG(39:0) DG(14:0_25:0)",684.6501,649.613,439.4146,285.2424,211.2056,365.3778,193.1951,347.3673,267.2319,421.4041
"DG(40:0) DG(14:0_26:0)",698.6657,663.6286,453.4302,285.2424,211.2056,379.3934,193.1951,361.3829,267.2319,435.4197
"DG(28:2) DG(14:1_14:1)",526.4467,491.4096,283.2268,283.2268,209.19,209.19,191.1795,191.1795,265.2163,265.2163
"DG(29:1) DG(14:1_15:0)",542.478,507.4409,299.2581,283.2268,209.19,225.2213,191.1795,207.2108,265.2163,281.2476
