"PG","[M+NH4]+","[M+NH4-PG head]+","[M+NH4-PG head-H2O]+","[M+NH4-T1_RCOOH]+","[M+NH4-T2_RCOOH]+","[T1_RCO]+","[T2_RCO]+","[T1RCOO+58]+","[T2RCOO+58]+"
"PG(35:3) PG(13:0_22:3)",776.54376,605.53786,587.503527,545.323886,425.229986,197.19005,317.28395,271.22683,391.32073
"PG(35:4) PG(13:0_22:4)",774.52806,603.52216,585.487827,543.308186,425.229986,197.19005,315.26825,271.22683,389.30503
"PG(35:5) PG(13:0_22:5)",772.51246,601.50656,583.472227,541.292586,425.229986,197.19005,313.25265,271.22683,387.28943
"PG(35:6) PG(13:0_22:6)",770.49676,599.49086,581.456527,539.276886,425.229986,197.19005,311.23695,271.22683,385.27373
"PG(36:0) PG(13:0_23:0)",796.60636,625.60046,607.566127,565.386486,425.229986,197.19005,337.34655,271.22683,411.38333
"PG(37:0) PG(13:0_24:0)",810.62196,639.61606,621.581727,579.402086,425.229986,197.19005,351.36215,271.22683,425.39893
"PG(37:1) PG(13:0_24:1)",808.60636,637.60046,619.566127,577.386486,425.229986,197.19005,349.34655,271.22683,423.38333
"PG(38:0) PG(13:0_25:0)",824.63766,653.63176,635.597427,593.417786,425.229986,197.19005,365.37785,271.22683,439.41463
"PG(39:0) PG(13:0_26:0)",838.65326,667.64736,649.613027,607.433386,425.229986,197.19005,379.39345,271.22683,453.43023
"PG(28:0) PG(14:0_14:0)",684.48106,513.47516,495.440827,439.245586,439.245586,211.20565,211.20565,285.24243,285.24243
"PG(28:1) PG(14:0_14:1)",682.46546,511.45956,493.425227,437.229986,439.245586,211.20565,209.19005,285.24243,283.22683
"PG(29:0) PG(14:0_15:0)",698.49676,527.49086,509.456527,453.261286,439.245586,211.20565,225.22135,285.24243,299.25813
"PG(29:1) PG(14:0_15:1)",696.48106,525.47516,507.440827,451.245586,439.245586,211.20565,223.20565,285.24243,297.24243
"PG(30:0) PG(14:0_16:0)",712.51236,541.50646,523.472127,467.276886,439.245586,211.20565,239.23695,285.24243,313.27373
"PG(30:1) PG(14:0_16:1)",710.49676,539.49086,521.456527,465.261286,439.245586,211.20565,237.22135,285.24243,311.25813
"PG(31:0) PG(14:0_17:0)",726.52806,555.52216,537.487827,481.292586,439.245586,211.20565,253.25265,285.24243,327.28943
"PG(31:1) PG(14:0_17:1)",724.51236,553.50646,535.472127,479.276886,439.245586,211.20565,251.23695,285.24243,325.27373
"PG(31:2) PG(14:0_17:2)",722.49676,551.49086,533.456527,477.261286,439.245586,211.20565,249.22135,285.24243,323.25813
"PG(32:0) PG(14:0_18:0)",740.54366,569.53776,551.503427,495.308186,439.245586,211.20565,267.26825,285.24243,341.30503
"PG(32:1) PG(14:0_18:1)",738.52806,567.52216,549.487827,493.292586,439.245586,211.20565,265.25265,285.24243,339.28943
"PG(32:2) PG(14:0_18:2)",736.51236,565.50646,547.472127,491.276886,439.245586,211.20565,263.23695,285.24243,337.27373
"PG(32:3) PG(14:0_18:3)",734.49676,563.49086,545.456527,489.261286,439.245586,211.20565,261.22135,285.24243,335.25813
"PG(32:4) PG(14:0_18:4)",732.48106,561.47516,543.440827,487.245586,439.245586,211.20565,259.20565,285.24243,333.24243
"PG(33:0) PG(14:0_19:0)",754.55936,583.55346,565.519127,509.323886,439.245586,211.20565,281.28395,285.24243,355.32073
"PG(34:0) PG(14:0_20:0)",768.57496,597.56906,579.534727,523.339486,439.245586,211.20565,295.29955,285.24243,369.33633
"PG(34:1) PG(14:0_20:1)",766.55936,595.55346,577.519127,521.323886,439.245586,211.20565,293.28395,285.24243,367.32073
"PG(34:2) PG(14:0_20:2)",764.54366,593.53776,575.503427,519.308186,439.245586,211.20565,291.26825,285.24243,365.30503
"PG(34:3) PG(14:0_20:3)",762.52806,591.52216,573.487827,517.292586,439.245586,211.20565,289.25265,285.24243,363.28943
"PG(34:4) PG(14:0_20:4)",760.51236,589.50646,571.472127,515.276886,439.245586,211.20565,287.23695,285.24243,361.27373
"PG(34:5) PG(14:0_20:5)",758.49676,587.49086,569.456527,513.261286,439.245586,211.20565,285.22135,285.24243,359.25813
"PG(35:0) PG(14:0_21:0)",782.59066,611.58476,593.550427,537.355186,439.245586,211.20565,309.31525,285.24243,383.35203
"PG(36:0) PG(14:0_22:0)",796.60626,625.60036,607.566027,551.370786,439.245586,211.20565,323.33085,285.24243,397.36763
"PG(36:1) PG(14:0_22:1)",794.59066,623.58476,605.550427,549.355186,439.245586,211.20565,321.31525,285.24243,395.35203
"PG(36:2) PG(14:0_22:2)",792.57496,621.56906,603.534727,547.339486,439.245586,211.20565,319.29955,285.24243,393.33633
"PG(36:3) PG(14:0_22:3)",790.55936,619.55346,601.519127,545.323886,439.245586,211.20565,317.28395,285.24243,391.32073
"PG(36:4) PG(14:0_22:4)",788.54366,617.53776,599.503427,543.308186,439.245586,211.20565,315.26825,285.24243,389.30503
"PG(36:5) PG(14:0_22:5)",786.52806,615.52216,597.487827,541.292586,439.245586,211.20565,313.25265,285.24243,387.28943
"PG(36:6) PG(14:0_22:6)",784.51236,613.50646,595.472127,539.276886,439.245586,211.20565,311.23695,285.24243,385.27373
"PG(37:0) PG(14:0_23:0)",810.62196,639.61606,621.581727,565.386486,439.245586,211.20565,337.34655,285.24243,411.38333
"PG(38:0) PG(14:0_24:0)",824.63756,653.63166,635.597327,579.402086,439.245586,211.20565,351.36215,285.24243,425.39893
"PG(38:1) PG(14:0_24:1)",822.62196,651.61606,633.581727,577.386486,439.245586,211.20565,349.34655,285.24243,423.38333
"PG(39:0) PG(14:0_25:0)",838.65326,667.64736,649.613027,593.417786,439.245586,211.20565,365.37785,285.24243,439.41463
