GM3,[M+H]+,[M-H2O+H]+,[M-C11H17NO8+H]+,[M-C11H15NO7+H]+,[M-C17H27NO13+H]+,[M-C17H25NO12+H]+,[M-C23H37NO18+H]+,[M-C23H35NO17+H]+,[C11H17NO8+H]+,[Sph+H]+,[Sph-H2O+H]+
GM3(d17:0/12:0),1085.658,1067.648,794.5629,776.5523,632.51,614.4995,470.4572,452.4466,292.1027,270.2791,252.2686
GM3(d14:0/15:1),1083.642,1065.632,792.5469,774.5363,630.494,612.4835,468.4412,450.4306,292.1027,228.2322,210.2216
GM3(d14:1/15:0),1083.642,1065.632,792.5469,774.5363,630.494,612.4835,468.4412,450.4306,292.1027,226.2166,208.206
GM3(d15:0/14:1),1083.642,1065.632,792.5469,774.5363,630.494,612.4835,468.4412,450.4306,292.1027,242.2478,224.2373
GM3(d15:1/14:0),1083.642,1065.632,792.5469,774.5363,630.494,612.4835,468.4412,450.4306,292.1027,240.2322,222.2216
GM3(d16:0/13:1),1083.642,1065.632,792.5469,774.5363,630.494,612.4835,468.4412,450.4306,292.1027,256.2635,238.2529
GM3(d16:1/13:0),1083.642,1065.632,792.5469,774.5363,630.494,612.4835,468.4412,450.4306,292.1027,254.2478,236.2373
GM3(d17:0/12:1),1083.642,1065.632,792.5469,774.5363,630.494,612.4835,468.4412,450.4306,292.1027,270.2791,252.2686
GM3(d17:1/12:0),1083.642,1065.632,792.5469,774.5363,630.494,612.4835,468.4412,450.4306,292.1027,268.2635,250.2529
GM3(d14:1/15:1),1081.626,1063.616,790.5309,772.5203,628.478,610.4675,466.4252,448.4146,292.1027,226.2166,208.206
GM3(d15:1/14:1),1081.626,1063.616,790.5309,772.5203,628.478,610.4675,466.4252,448.4146,292.1027,240.2322,222.2216
GM3(d16:1/13:1),1081.626,1063.616,790.5309,772.5203,628.478,610.4675,466.4252,448.4146,292.1027,254.2478,236.2373
GM3(d17:1/12:1),1081.626,1063.616,790.5309,772.5203,628.478,610.4675,466.4252,448.4146,292.1027,268.2635,250.2529
GM3(d14:0/16:0),1099.673,1081.663,808.5779,790.5673,646.525,628.5145,484.4722,466.4616,292.1027,228.2322,210.2216
GM3(d15:0/15:0),1099.673,1081.663,808.5779,790.5673,646.525,628.5145,484.4722,466.4616,292.1027,242.2478,224.2373
GM3(d16:0/14:0),1099.673,1081.663,808.5779,790.5673,646.525,628.5145,484.4722,466.4616,292.1027,256.2635,238.2529
GM3(d17:0/13:0),1099.673,1081.663,808.5779,790.5673,646.525,628.5145,484.4722,466.4616,292.1027,270.2791,252.2686
GM3(d18:0/12:0),1099.673,1081.663,808.5779,790.5673,646.525,628.5145,484.4722,466.4616,292.1027,284.2948,266.2842
GM3(d14:0/16:1),1097.658,1079.648,806.5629,788.5523,644.51,626.4995,482.4572,464.4466,292.1027,228.2322,210.2216
GM3(d14:1/16:0),1097.658,1079.648,806.5629,788.5523,644.51,626.4995,482.4572,464.4466,292.1027,226.2166,208.206
GM3(d15:0/15:1),1097.658,1079.648,806.5629,788.5523,644.51,626.4995,482.4572,464.4466,292.1027,242.2478,224.2373
GM3(d15:1/15:0),1097.658,1079.648,806.5629,788.5523,644.51,626.4995,482.4572,464.4466,292.1027,240.2322,222.2216
GM3(d16:0/14:1),1097.658,1079.648,806.5629,788.5523,644.51,626.4995,482.4572,464.4466,292.1027,256.2635,238.2529
GM3(d16:1/14:0),1097.658,1079.648,806.5629,788.5523,644.51,626.4995,482.4572,464.4466,292.1027,254.2478,236.2373
GM3(d17:0/13:1),1097.658,1079.648,806.5629,788.5523,644.51,626.4995,482.4572,464.4466,292.1027,270.2791,252.2686
GM3(d17:1/13:0),1097.658,1079.648,806.5629,788.5523,644.51,626.4995,482.4572,464.4466,292.1027,268.2635,250.2529
GM3(d18:0/12:1),1097.658,1079.648,806.5629,788.5523,644.51,626.4995,482.4572,464.4466,292.1027,284.2948,266.2842
