"PG","[M+Na]+","[M+Na-194]+","[C3H9NaO6P]+","[M+H-R1]+","[M+H-R2]+"
"PG(37:6) PG(15:1_22:5)",803.48341,609.4877908,195.0034442,297.2424,387.2894
"PG(37:7) PG(15:1_22:6)",801.46771,607.4720908,195.0034442,297.2424,385.2737
"PG(38:1) PG(15:1_23:0)",827.57731,633.5816908,195.0034442,297.2424,411.3833
"PG(39:1) PG(15:1_24:0)",841.59291,647.5972908,195.0034442,297.2424,425.3989
"PG(39:2) PG(15:1_24:1)",839.57731,645.5816908,195.0034442,297.2424,423.3833
"PG(40:1) PG(15:1_25:0)",855.60861,661.6129908,195.0034442,297.2424,439.4146
"PG(41:1) PG(15:1_26:0)",869.62421,675.6285908,195.0034442,297.2424,453.4302
"PG(32:0) PG(16:0_16:0)",745.49901,551.5033908,195.0034442,313.2737,313.2737
"PG(32:1) PG(16:0_16:1)",743.48341,549.4877908,195.0034442,313.2737,311.2581
"PG(33:0) PG(16:0_17:0)",759.51471,565.5190908,195.0034442,313.2737,327.2894
"PG(33:1) PG(16:0_17:1)",757.49901,563.5033908,195.0034442,313.2737,325.2737
"PG(33:2) PG(16:0_17:2)",755.48341,561.4877908,195.0034442,313.2737,323.2581
"PG(34:0) PG(16:0_18:0)",773.53031,579.5346908,195.0034442,313.2737,341.305
"PG(34:1) PG(16:0_18:1)",771.51471,577.5190908,195.0034442,313.2737,339.2894
"PG(34:2) PG(16:0_18:2)",769.49901,575.5033908,195.0034442,313.2737,337.2737
"PG(34:3) PG(16:0_18:3)",767.48341,573.4877908,195.0034442,313.2737,335.2581
"PG(34:4) PG(16:0_18:4)",765.46771,571.4720908,195.0034442,313.2737,333.2424
"PG(35:0) PG(16:0_19:0)",787.54601,593.5503908,195.0034442,313.2737,355.3207
"PG(36:0) PG(16:0_20:0)",801.56161,607.5659908,195.0034442,313.2737,369.3363
"PG(36:1) PG(16:0_20:1)",799.54601,605.5503908,195.0034442,313.2737,367.3207
"PG(36:2) PG(16:0_20:2)",797.53031,603.5346908,195.0034442,313.2737,365.305
"PG(36:3) PG(16:0_20:3)",795.51471,601.5190908,195.0034442,313.2737,363.2894
"PG(36:4) PG(16:0_20:4)",793.49901,599.5033908,195.0034442,313.2737,361.2737
