"DG","[M+Na]+","[M+H-H2O]+","[M+H-R1-2H2O]+","[M+H-R2-2H2O]+","[R1CO]+","[R2CO]+","[R1CO-H2O]+","[R2CO-H2O]+"
"DG(36:4) DG(14:0_22:4)",639.4959,599.5034,389.305,285.2424,211.2056,315.2682,193.1951,297.2577
"DG(36:5) DG(14:0_22:5)",637.4803,597.4878,387.2894,285.2424,211.2056,313.2526,193.1951,295.2421
"DG(36:6) DG(14:0_22:6)",635.4646,595.4721,385.2737,285.2424,211.2056,311.2369,193.1951,293.2264
"DG(37:0) DG(14:0_23:0)",661.5742,621.5817,411.3833,285.2424,211.2056,337.3465,193.1951,319.336
"DG(38:0) DG(14:0_24:0)",675.5898,635.5973,425.3989,285.2424,211.2056,351.3621,193.1951,333.3516
"DG(38:1) DG(14:0_24:1)",673.5742,633.5817,423.3833,285.2424,211.2056,349.3465,193.1951,331.336
"DG(39:0) DG(14:0_25:0)",689.6055,649.613,439.4146,285.2424,211.2056,365.3778,193.1951,347.3673
"DG(40:0) DG(14:0_26:0)",703.6211,663.6286,453.4302,285.2424,211.2056,379.3934,193.1951,361.3829
"DG(28:2) DG(14:1_14:1)",531.4021,491.4096,283.2268,283.2268,209.19,209.19,191.1795,191.1795
"DG(29:1) DG(14:1_15:0)",547.4334,507.4409,299.2581,283.2268,209.19,225.2213,191.1795,207.2108
"DG(29:2) DG(14:1_15:1)",545.4177,505.4252,297.2424,283.2268,209.19,223.2056,191.1795,205.1951
"DG(30:1) DG(14:1_16:0)",561.449,521.4565,313.2737,283.2268,209.19,239.2369,191.1795,221.2264
"DG(30:2) DG(14:1_16:1)",559.4334,519.4409,311.2581,283.2268,209.19,237.2213,191.1795,219.2108
"DG(31:1) DG(14:1_17:0)",575.4647,535.4722,327.2894,283.2268,209.19,253.2526,191.1795,235.2421
"DG(31:2) DG(14:1_17:1)",573.449,533.4565,325.2737,283.2268,209.19,251.2369,191.1795,233.2264
"DG(31:3) DG(14:1_17:2)",571.4334,531.4409,323.2581,283.2268,209.19,249.2213,191.1795,231.2108
"DG(32:1) DG(14:1_18:0)",589.4803,549.4878,341.305,283.2268,209.19,267.2682,191.1795,249.2577
"DG(32:2) DG(14:1_18:1)",587.4647,547.4722,339.2894,283.2268,209.19,265.2526,191.1795,247.2421
"DG(32:3) DG(14:1_18:2)",585.449,545.4565,337.2737,283.2268,209.19,263.2369,191.1795,245.2264
"DG(32:4) DG(14:1_18:3)",583.4334,543.4409,335.2581,283.2268,209.19,261.2213,191.1795,243.2108
"DG(32:5) DG(14:1_18:4)",581.4177,541.4252,333.2424,283.2268,209.19,259.2056,191.1795,241.1951
"DG(33:1) DG(14:1_19:0)",603.496,563.5035,355.3207,283.2268,209.19,281.2839,191.1795,263.2734
"DG(34:1) DG(14:1_20:0)",617.5116,577.5191,369.3363,283.2268,209.19,295.2995,191.1795,277.289
"DG(34:2) DG(14:1_20:1)",615.496,575.5035,367.3207,283.2268,209.19,293.2839,191.1795,275.2734
"DG(34:3) DG(14:1_20:2)",613.4803,573.4878,365.305,283.2268,209.19,291.2682,191.1795,273.2577
"DG(34:4) DG(14:1_20:3)",611.4647,571.4722,363.2894,283.2268,209.19,289.2526,191.1795,271.2421
"DG(34:5) DG(14:1_20:4)",609.449,569.4565,361.2737,283.2268,209.19,287.2369,191.1795,269.2264
"DG(34:6) DG(14:1_20:5)",607.4334,567.4409,359.2581,283.2268,209.19,285.2213,191.1795,267.2108
"DG(35:1) DG(14:1_21:0)",631.5273,591.5348,383.352,283.2268,209.19,309.3152,191.1795,291.3047
"DG(36:1) DG(14:1_22:0)",645.5429,605.5504,397.3676,283.2268,209.19,323.3308,191.1795,305.3203
"DG(36:2) DG(14:1_22:1)",643.5273,603.5348,395.352,283.2268,209.19,321.3152,191.1795,303.3047
"DG(36:3) DG(14:1_22:2)",641.5116,601.5191,393.3363,283.2268,209.19,319.2995,191.1795,301.289
"DG(36:4) DG(14:1_22:3)",639.496,599.5035,391.3207,283.2268,209.19,317.2839,191.1795,299.2734
"DG(36:5) DG(14:1_22:4)",637.4803,597.4878,389.305,283.2268,209.19,315.2682,191.1795,297.2577
"DG(36:6) DG(14:1_22:5)",635.4647,595.4722,387.2894,283.2268,209.19,313.2526,191.1795,295.2421
"DG(36:7) DG(14:1_22:6)",633.449,593.4565,385.2737,283.2268,209.19,311.2369,191.1795,293.2264
"DG(37:1) DG(14:1_23:0)",659.5586,619.5661,411.3833,283.2268,209.19,337.3465,191.1795,319.336
"DG(38:1) DG(14:1_24:0)",673.5742,633.5817,425.3989,283.2268,209.19,351.3621,191.1795,333.3516
"DG(38:2) DG(14:1_24:1)",671.5586,631.5661,423.3833,283.2268,209.19,349.3465,191.1795,331.336
